チャンネル ID,チャンネル名,動画タイトル,動画概要,サムネイル URL,公開日,動画 ID,視聴回数,高評価数,コメント数
UCZWyZ5L_MVBCcB8vmkspb8A,メトロンブログ,短期集中型【１日２分だけ】週３日の耐久戦腹筋でお腹を割るトレーニング方法     Abs Training,パーソナルトレーナーを趣旨にしたBOOST° というチャンネルを始めました！ 新しい腹筋メニューも豊富に行っていきますので興味のある方 ...,https://i.ytimg.com/vi/sM3W0b1PdOY/default.jpg,2018/05/16,sM3W0b1PdOY,25548679,349229,15805
UCC0JWiw4BJYR4NUDxQCf0Hg,Hinata Kato /ひなちゃんねる,1000万再生されたお腹痩せ成功者続出！１週間で下腹部痩せトレーニング動画！【ダイエット】,ひなちゃんねる #hina2week ◁みんなのタグだよ❕☺︎ 頑張ったらSNSでシェアしてね！！！ ◟̆◞̆♡ ...,https://i.ytimg.com/vi/hMgcaYd2BZM/default.jpg,2020/06/04,hMgcaYd2BZM,18414824,232660,13480
UCC0JWiw4BJYR4NUDxQCf0Hg,Hinata Kato /ひなちゃんねる,１日でお腹が痩せる鬼の筋トレ//1day ABS workout,ひなちゃんねる #hina2week ◁みんなのタグだよ❕☺︎ 頑張ったらSNSでシェアしてね！！！ ◟̆◞̆♡ ...,https://i.ytimg.com/vi/oYZRHB0aq2I/default.jpg,2019/12/22,oYZRHB0aq2I,16578198,265900,16805
UCw7HTQv0F4CB9zGRhqosYsg,Marina Takewaki,【ノリノリ４分】夏までにお尻をヒップアップ！マンションやアパートでも洋楽で楽しくエクササイズ！【痩せる筋トレダンス】家で一緒にやってみよう,プリ尻！プリ尻！キュッと上がったプリ尻！ 今度こそ、夏に向けて一緒にプリ尻になろう！ ただ、楽しく継続することが一番大事なので絶対に ...,https://i.ytimg.com/vi/BMoGgdQ2wXQ/default.jpg,2020/03/03,BMoGgdQ2wXQ,14472981,104160,3361
UCw7HTQv0F4CB9zGRhqosYsg,Marina Takewaki,【初心者用３分】腰が痛くならない！寝たまま下腹のお肉をごっそり落とす簡単筋トレ４種【夏までにダイエット！】家で一緒にやってみよう,夏が刻一刻と迫ってきておりますね・・・ 私も引っ越してから美味しいものの誘惑に勝てておりません。。 でも！動けば食べ多分も燃やせる ...,https://i.ytimg.com/vi/kcj40PNGgbQ/default.jpg,2020/02/29,kcj40PNGgbQ,12539983,126502,2769
UCC0JWiw4BJYR4NUDxQCf0Hg,Hinata Kato /ひなちゃんねる,【きつい筋トレ】お腹の脂肪がみるみる落ちる！ノーカット筋トレ！【下腹部】,ひなちゃんねる #hina2week ◁みんなのタグだよ❕☺︎ 頑張ったらSNSでシェアしてね！！！ ◟̆◞̆♡ ...,https://i.ytimg.com/vi/u5LC5iAwE-Y/default.jpg,2019/05/12,u5LC5iAwE-Y,11846523,234471,12001
UC1bmnUH1ffc63zohkPvtXcQ,ブライトサイド | Bright Side Japan,5分筋トレ！激しい有酸素運動レベルの効果,身体を鍛えたいけれど、いつも何をやったらいいかわからなくてただ夢見ているだけですか？この７つのエクササイズは５分あれば出来て ...,https://i.ytimg.com/vi/JX6IvMyqVk8/default.jpg,2018/02/19,JX6IvMyqVk8,11469621,155549,6229
UCVdr-eRqzvzKHMpiU4YuNIQ,CALISLIFE自重トレ,【1日6分】シックスパックを作る7種目腹筋トレーニング！【器具なし】,シックスパックを作る腹筋トレーニング7種目です！6分間続けるのが難しい場合は途中で動画を止めて休憩を長くしてください！ 1．,https://i.ytimg.com/vi/g46tZN9J_2k/default.jpg,2019/12/15,g46tZN9J_2k,10995159,121123,4546
UCw7HTQv0F4CB9zGRhqosYsg,Marina Takewaki,【全身ストレッチ】筋トレ前後に最適な１２分間の全身ストレッチ【ダイエット】＃家で一緒にやってみよう,英語チャンネルを作りました☆ https://www.youtube.com/channel/UC1zigS-QNOvskIwpAuXNMVw ダンス動画のテロップが英語になっ ...,https://i.ytimg.com/vi/BxpS6jw_2L4/default.jpg,2020/05/25,BxpS6jw_2L4,10202475,56045,1031
UCC0JWiw4BJYR4NUDxQCf0Hg,Hinata Kato /ひなちゃんねる,2週間で全身が変わったお尻筋トレ！【ヒップアップ】 // Wider Hips Workout At Home No Equipment,ひなちゃんねる #hina2week ◁みんなのタグだよ❕☺︎ 頑張ったらSNSでシェアしてね！！！ ◟̆◞̆♡ ...,https://i.ytimg.com/vi/PaXxuO9pr8U/default.jpg,2020/02/14,PaXxuO9pr8U,8980112,150465,7175
